timestamp,yaw,pitch,roll,raw_ax,raw_ay,raw_az,raw_gx,raw_gy,raw_gz,raw_mx,raw_my,raw_mz
1766547766.915332,-80.87,-0.99,-0.32,0.016601563,-0.005371094,0.987304688,-0.0625,0.0625,-0.0625,26.1,-40.9,18
1766547766.938821,-80.86,-1,-0.26,0.017089844,-0.004882813,0.985351563,-0.1875,0,0,27,-41.1,17.4
1766547766.959094,-80.85,-0.98,-0.33,0.016601563,-0.005859375,0.986328125,-0.125,0,0,26.8,-41.2,18
1766547766.9790459,-80.85,-1.01,-0.32,0.017089844,-0.005371094,0.986328125,-0.0625,0.0625,-0.0625,26.2,-42.6,18.6
1766547767.002126,-80.84,-0.96,-0.28,0.016601563,-0.004882813,0.985839844,-0.0625,0.0625,0,26.2,-43,17.1
1766547767.022511,-80.84,-0.93,-0.31,0.016113281,-0.005371094,0.985839844,-0.0625,0,-0.0625,27.9,-41.1,17.4
1766547767.0448442,-80.84,-0.95,-0.28,0.016601563,-0.005371094,0.985839844,-0.125,0.125,0,25.9,-41.1,18.6
1766547767.065734,-80.83,-0.96,-0.34,0.016601563,-0.005859375,0.985839844,-0.125,0.0625,0,26.7,-41.5,16.6
1766547767.0869231,-80.83,-0.97,-0.31,0.016601563,-0.005371094,0.987304688,-0.0625,0,0,27,-42.3,17.8
1766547767.109526,-80.84,-0.91,-0.29,0.016113281,-0.005371094,0.985351563,-0.0625,0.0625,0,26.8,-43.2,18
1766547767.130947,-80.83,-0.97,-0.27,0.016601563,-0.004882813,0.985839844,-0.125,0,0,26.5,-42.4,18.4
1766547767.1514392,-80.82,-0.92,-0.25,0.016601563,-0.005371094,0.986328125,0,0.0625,0,26.1,-41.2,18.7
1766547767.1758158,-80.81,-0.88,-0.32,0.015625,-0.005859375,0.985351563,-0.0625,0,0,27.4,-41.5,17.8
1766547767.192655,-80.81,-0.95,-0.32,0.016113281,-0.005859375,0.985351563,-0.1875,0.0625,-0.0625,26.5,-42.4,18
1766547767.2136068,-80.8,-1.01,-0.3,0.017089844,-0.005371094,0.985839844,-0.0625,0.1875,-0.125,24.7,-42.3,17.4
1766547767.2355452,-80.8,-1.02,-0.31,0.017578125,-0.005371094,0.986328125,-0.125,0.0625,-0.0625,27.4,-41.8,18.3
1766547767.2560089,-80.79,-0.99,-0.3,0.016601563,-0.005371094,0.985839844,-0.0625,0,-0.0625,26.1,-42.9,18.7
1766547767.279349,-80.78,-0.99,-0.31,0.017089844,-0.005371094,0.986816406,-0.125,0,0,25.8,-41.7,18
1766547767.298481,-80.78,-0.97,-0.31,0.016601563,-0.005371094,0.986816406,-0.125,0,-0.0625,25.5,-42.6,17.4
1766547767,-80.77,-0.98,-0.32,0.016601563,-0.005859375,0.985839844,-0.0625,0.0625,0,26.1,-42.4,17.7
1766547767.345539,-80.77,-0.95,-0.26,0.016113281,-0.004882813,0.986328125,-0.0625,0.0625,0,27.6,-42.4,19.2
